"";"cod_orgao_sup";"nm_orgao_sup";"cod_orgao";"nm_orgao";"cod_unidade";"nm_unidade";"modalidade_compra";"id_item_compra";"dia";"ano";"mes";"cod_classe_material";"nm_classe_material";"grupo_material";"grupo_servico";"cod_material_serv";"desc_material_serv";"padrao_desc_material";"cnpj_fornecedor";"nm_fornecedor";"unidade_fornecimento";"valor_unitario";"qtde_ofertada";"ind_pandemia"
"1";26000;"MINISTERIO DA EDUCACAO";26443;"EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES";155124;"HOSPITAL UNIV. Mª APARECIDA PEDROSSIAN";"Pregão";1,5512405000642e+21;"25 Fev 2019";2019;"Fev 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";380018;" ALCOOL ETILICO, TEOR ALCOOLICO:70% V/V, COMPOSICAO BASICA:COM EMOLIENTE, FORMA FARMACEUTICA:GEL";"ALCOOL ETILICO";1,56313e+13;"LUTAR DISTRIBUIDORA DE PRODUTOS DE LIMPEZA EIRELI";"FRASCO 500,00 ML";0,008;2760000;0
"2";99900;"REPUBLICA FEDERATIVA DO BRASIL";93420;"ESTADO DO PARA";925387;"PREFEITURA MUNICIPAL DE BELÉM";"Pregão";9,2538705001182e+21;"17 Dez 2019";2019;"Dez 2019";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";5,15448e+12;"SOUSA E SILVA COMERCIO DE ALIMENTOS EM GERAL LTDA";"FRASCO 500,00 ML";2,1;918;0
"3";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160255;"1 BATALHAO DE POLICIA DO EXERCITO/RJ";"Pregão";1,6025505000092e+21;"19 Jun 2018";2018;"Jun 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,11668e+13;"E M S DE ALEXANDRIA COMERCIO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA";"FRASCO 500,00 ML";2,57;1000;0
"4";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160148;"BASE DE ADMINISTRAÇÃO E APOIO DO CMP";"Pregão";1,6014805000122e+21;"26 Fev 2019";2019;"Fev 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";395734;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";5,2054e+12;"CDV COMERCIAL DE ALIMENTOS EIRELI";"FRASCO 500,00 ML";2,64;4668;0
"5";99900;"REPUBLICA FEDERATIVA DO BRASIL";95420;"ESTADO DE SAO PAULO";986589;"PREFEITURA MUNICIPAL DE JACAREÍ";"Pregão";9,8658905001292e+21;"06 Set 2019";2019;"Set 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,11915e+13;"LOCAMAIS SERVICOS EIRELI";"FRASCO 500,00 ML";2,65;6752;0
"6";20000;"PRESIDENCIA DA REPUBLICA";20101;"PRESIDENCIA DA REPUBLICA";110746;"INTERVENÇÃO FEDERAL RIO DE JANEIRO";"Pregão";1,1074605000012e+21;"28 Ago 2018";2018;"Ago 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,92337e+13;"MHS PRODUTOS E SERVICOS EIRELI";"FRASCO 500,00 ML";2,7;13840;0
"7";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160298;"COMANDO DA 1 REGIAO MILITAR/RJ";"Pregão";1,6029805000022e+21;"01 Out 2018";2018;"Out 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";1,74644e+13;"PHENIX COMERCIO E SERVICOS EM GERAL EIRELI";"FRASCO 500,00 ML";2,74;3050;0
"8";14000;"JUSTICA ELEITORAL";14000;"JUSTICA ELEITORAL";70016;"TRIBUNAL REGIONAL ELEITORAL DE MATO G.DO SUL";"Pregão";7,00160500011202e+20;"24 Out 2018";2018;"Out 2018";6505;"DROGAS E MEDICAMENTOS";"EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO";"NAO SE APLICA";269943;" ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL";"ALCOOL ETILICO";2,87871e+13;"SHIGEMOTO & CIA LTDA";"FRASCO 500,00 ML";2,77;8500;0
"9";52000;"MINISTERIO DEFESA";52131;"COMANDO DA MARINHA";752100;"CENTRO DE INSTRUCAO ALMIRANTE GRACA ARANHA";"Pregão";7,5210005000102e+21;"10 Jan 2019";2019;"Jan 2019";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";347138;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL HIDRATADO, CONCENTRACAO:46deg A 65deg INPM";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,69385e+13;"M M DISTRIBUIDORA DE ALIMENTOS E PRESTACOES DE SERVICOS LTDA";"FRASCO 500,00 ML";2,87;1500;0
"10";52000;"MINISTERIO DEFESA";52121;"COMANDO DO EXERCITO";160211;"20 BATALHAO DE INFANTARIA BLINDADO";"Pregão";1,6021105000022e+21;"25 Jun 2018";2018;"Jun 2018";7930;"COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO";"EQUIPAMENTOS E MATERIAIS PARA LIMPEZA";"NAO SE APLICA";244273;" ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO";"ALCOOL ETILICO LIMPEZA DE AMBIENTES";1,92322e+13;"BONZAO INDUSTRIA DE PRODUTOS DE LIMPEZA LTDA";"FRASCO 500,00 ML";2,9;9900;0
