;Unnamed: 0;Unnamed: 0.1;cod_orgao_sup;nm_orgao_sup;cod_orgao;nm_orgao;cod_unidade;nm_unidade;modalidade_compra;id_item_compra;dia;ano;mes;cod_classe_material;nm_classe_material;grupo_material;grupo_servico;cod_material_serv;desc_material_serv;padrao_desc_material;cnpj_fornecedor;nm_fornecedor;unidade_fornecimento;valor_unitario;qtde_ofertada;ind_pandemia
285;453;200476;99900;REPUBLICA FEDERATIVA DO BRASIL;93220;ESTADO DO AMAPA;927560;DEFENSORIA PUBLICA DO ESTADO DO AMAPA;Pregão;9275600500006202000002;04 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,64169E+13;IBIAPINA DESCARTAVEIS EIRELI;FRASCO 500,00 ML;0,0562;200;1
282;448;196404;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;788820;CENTRO DE INTENDENCIA DA MARINHA EM MANAUS;Pregão;7888200500029201900004;01 Abr 2020;2020;Abr 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;244273; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, COMPOSICAO:HIDROALCOOLICA, APARENCIA VISUAL:GEL, APLICACAO:PRODUTO LIMPEZA DOMESTICA, CONCENTRACAO:65%, ODOR:EUCALIPTO;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,05228E+13;F DONIZETI DA COSTA EIRELI;FRASCO 500,00 ML;1,82;5110;1
85;147;190031;99900;REPUBLICA FEDERATIVA DO BRASIL;93520;ESTADO DE RONDONIA;980005;PREFEITURA MUNICIPAL DE JI-PARANÁ;Pregão;9800050500180201900036;13 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,15136E+13;HTA COMERCIO DE PRODUTOS DE LIMPEZA EIRELI;FRASCO 500,00 ML;3,34;1706;1
284;451;198340;52000;MINISTERIO DEFESA;52131;COMANDO DA MARINHA;795180;BASE DE FUZILEIROS NAVAIS ILHA DO GOVERN./RJ;Dispensa de Licitação;7951800600008202000002;03 Jun 2020;2020;Jun 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;4,58738E+12;ALVOTEX INDUSTRIA E COMERCIO LTDA;FRASCO 500,00 ML;3,5;3512;1
69;113;140027;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160332;POLICLINICA MILITAR DA PRAIA VERMELHA/RJ;Pregão;1603320500008201900004;03 Mar 2020;2020;Mar 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;2,29656E+13;LABUTAR DISTRIBUIDORA E PRESTADORA DE SERVICO LTDA;FRASCO 500,00 ML;3,6;270;1
60;100;111818;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160098;BASE ADMINISTRATIVA DA BDA DE OP.ESPECIAISS;Pregão;1600980500022201900135;31 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;395734; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:GEL SANITIZANTE, APLICACAO:LIMPEZA, CARACTERISTICAS ADICIONAIS:NEUTRO, CONCENTRACAO:73%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;1,44916E+13;PRIME IMPORTACAO E EXPORTACAO EIRELI;FRASCO 500,00 ML;3,68;3000;1
89;151;198313;99900;REPUBLICA FEDERATIVA DO BRASIL;94420;ESTADO DO RIO GRANDE DO NORTE;926788;PREFEITURA DO MUNICIPIO DE BOA SAUDE;Pregão;9267880500002202000081;20 Mar 2020;2020;Mar 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;3,58275E+13;J L VASCONCELOS ALVES REPRESENTACOES;FRASCO 500,00 ML;3,69;850;1
225;343;120862;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160129;ESCOLA DE SARGENTOS DAS ARMAS;Pregão;1601290500007202000011;27 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;3,66537E+12;V3TEX COMERCIO DE PRODUTOS TEXTEIS LTDA;FRASCO 500,00 ML;3,83;5000;1
257;397;148644;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160339;1 BATALHAO DE ENGENHARIA DE CONSTRUCAO;Pregão;1603390500010202000139;04 Mai 2020;2020;Mai 2020;6505;DROGAS E MEDICAMENTOS;EQUIPAMENTOS E ARTIGOS PARA USO MEDICO, DENTARIO E VETERINA-RIO;NAO SE APLICA;269943; ALCOOL ETILICO, TIPO:HIDRATADO, TEOR ALCOOLICO:70%_(70degGL), APRESENTACAO:GEL;ALCOOL ETILICO;7,2302E+12;C CRISTINA P DA SILVA;FRASCO 500,00 ML;3,88;15000;1
229;349;123649;52000;MINISTERIO DEFESA;52121;COMANDO DO EXERCITO;160148;BASE DE ADMINISTRAÇÃO E APOIO DO CMP;Pregão;1601480500011201900002;11 Mai 2020;2020;Mai 2020;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;EQUIPAMENTOS E MATERIAIS PARA LIMPEZA;NAO SE APLICA;429225; ALCOOL ETILICO LIMPEZA DE AMBIENTES, TIPO:ETILICO HIDRATADO, CARACTERISTICAS ADICIONAIS:GEL, CONCENTRACAO:70%;ALCOOL ETILICO LIMPEZA DE AMBIENTES;2,86348E+13;N.S.S. COMERCIAL & CONSTRUTORA EIRELI;FRASCO 500,00 ML;3,9;18442;1
